id,title,description,status,project,priority,dueDate,createdAt,estimatedTime,tags,timeElapsed,workingFor,workingWith,checkpoints,documents,pinned,colorLabel
task-1768375729903,User Level Activity Implementation,Implement user level activity in all 4 pillars,completed,ZenseAI.Data,high,2026-01-23T00:00:00.000Z,2026-01-14T07:28:49.903Z,,4-Pillars,0,,Development Team,"[{""id"":1768552917740,""text"":""Governance"",""completed"":true,""createdAt"":""2026-01-16T08:41:57.740Z""},{""id"":1768552920597,""text"":""Insights"",""completed"":true,""createdAt"":""2026-01-16T08:42:00.597Z""},{""id"":1768552923391,""text"":""Engineering"",""completed"":true,""createdAt"":""2026-01-16T08:42:03.391Z""}]","[{""id"":1768553317571.1848,""name"":""Status Sheet"",""url"":""https://zensar-my.sharepoint.com/:x:/p/s_neelam/IQA76zDD2bURRZw8QicaBqu-AfRnlUtjBkwNKrlubUzqot0?email=s.neelam%40zensar.com&e=KJhdBo"",""type"":""link"",""addedAt"":""2026-01-16T08:48:37.571Z""}]",false,
task-1768383377992,HLS DATASET & Prompts,Prepare new dataset on data explorer and prepare some prompts,completed,ZenseAI.Data,low,2026-01-06T00:00:00.000Z,2026-01-14T09:36:17.992Z,,Data Eplorer,0,,,[],[],false,
task-1768383426523,"Fix Vulnerabilities on all Pillars ","npm i -D audit-export

npm audit --json | audit-export --path ./audit-report.html --title ai-infused

npm audit fix",completed,ZenseAI.Data,low,2026-02-06T00:00:00.000Z,2026-01-14T09:37:06.523Z,,,0,,,"[{""id"":1770103447150,""text"":""Governence"",""completed"":true,""createdAt"":""2026-02-03T07:24:07.150Z""},{""id"":1770103453274,""text"":""Engineering"",""completed"":true,""createdAt"":""2026-02-03T07:24:13.274Z""},{""id"":1770103457423,""text"":""Insights"",""completed"":true,""createdAt"":""2026-02-03T07:24:17.423Z""},{""id"":1770103501963,""text"":""AMS"",""completed"":true,""createdAt"":""2026-02-03T07:25:01.963Z""}]",[],false,
task-1768383461797,DQ Enhanchments,"Fix while re-generating the sql instead of re-generating all the sqls , generate only that selected rule and re-generate the sql
update the scores accordingly",completed,ZenseAI.Data,low,2026-02-06T00:00:00.000Z,2026-01-14T09:37:41.797Z,,,0,,,[],[],false,
task-1768383511847,OTP Integration,Integrate OTP based and native for all four pillars and deploy it,completed,ZenseAI.Data,low,2026-01-07T00:00:00.000Z,2026-01-14T09:38:31.847Z,,,0,,,[],[],false,
task-1768383558108,Videos app for databricks,Develop videos displaying and otp based and deploy it,completed,ZenseAI.Data,low,2026-01-05T00:00:00.000Z,2026-01-14T09:39:18.108Z,,,0,,,[],[],false,
task-1768383624998,Integrating DQ and Data explorer,Integrate dq and explorer in Insights and Governance,completed,ZenseAI.Data,low,2026-01-01T00:00:00.000Z,2026-01-14T09:40:24.998Z,,,0,,,[],[],false,
task-1768383667435,"Prepare the FE and BE Architecture ",prepare the Arch for both fe and be for ZenseAI.Data,completed,ZenseAI.Data,low,2025-10-14T00:00:00.000Z,2026-01-14T09:41:07.435Z,,,0,,,[],[],false,
task-1768383715214,Implement Session based chat for Data explorer,Implement Session based chat for data explorer,completed,ZenseAI.Data,low,2025-12-01T00:00:00.000Z,2026-01-14T09:41:55.214Z,,,0,,,[],[],false,
task-1768383947670,Governance-NFUM,Prepare the Separate Instance for NFUM include only recommended modules only and change the app theme to Yellow and deploy it,completed,ZenseAI.Data,low,2026-01-01T00:00:00.000Z,2026-01-14T09:45:47.670Z,,,0,,,[],[],false,
task-1768383991277,Prepare the VAPT code for testing,Prepare the code for VAPT testing and deploy it on separate Instance,completed,ZenseAI.Data,low,2025-11-05T00:00:00.000Z,2026-01-14T09:46:31.277Z,,,0,,,[],[],false,
task-1768386669658,Create Separate Deployment for NFUM,Do the deployment of NFUM Road show,completed,ZenseAI.Data,low,2026-01-13T00:00:00.000Z,2026-01-14T10:31:09.658Z,,,0,,,[],[],false,
task-1768387003554,User Activity Governance,Develop the Governance with User Activity for all modules,completed,ZenseAI.Data,low,2026-01-23T00:00:00.000Z,2026-01-14T10:36:43.554Z,,,0,,Sriram,"[{""id"":1768552875506,""text"":""Validate All Modules"",""completed"":true,""createdAt"":""2026-01-16T08:41:15.506Z""},{""id"":1768552889179,""text"":""Merge the PRs and Deploy it"",""completed"":true,""createdAt"":""2026-01-16T08:41:29.179Z""},{""id"":1768827072116,""text"":""Deployment"",""completed"":true,""createdAt"":""2026-01-19T12:51:12.116Z""}]",[],false,
task-1768387170141,Explore AutoGen Framework,Explore about AutoGen Framework and implement that in any modules,completed,Learnings,low,2026-01-29T00:00:00.000Z,2026-01-14T10:39:30.141Z,,Learning,0,Nimesh,,"[{""id"":1768409256698,""text"":""Implement Any module"",""completed"":false,""createdAt"":""2026-01-14T16:47:36.698Z""}]","[{""id"":1768412292141.7878,""name"":""AutoGen"",""url"":""https://microsoft.github.io/autogen/stable/"",""type"":""link"",""addedAt"":""2026-01-14T17:38:12.141Z""}]",false,
task-1768412752405,Explore System Design,System Design,completed,Learnings,low,2026-03-02T00:00:00.000Z,2026-01-14T17:45:52.405Z,,Learning,0,,,"[{""id"":1768413137569,""text"":""Prepare Interview Level"",""completed"":false,""createdAt"":""2026-01-14T17:52:17.569Z""}]",[],false,
task-1768412822382,Implement Prod Level App,"Implement production level app for 1k to 2k users and explore the System Design 
Implementing Data Explorer ",completed,Learnings,low,2026-03-02T00:00:00.000Z,2026-01-14T17:47:02.382Z,,Learning,0,,,"[{""id"":1768412862569,""text"":""Validate Yourself"",""completed"":false,""createdAt"":""2026-01-14T17:47:42.569Z""},{""id"":1768412875806,""text"":""See the Pointers of Implementation"",""completed"":false,""createdAt"":""2026-01-14T17:47:55.806Z""},{""id"":1768412884581,""text"":""Prepare for Interview Level"",""completed"":false,""createdAt"":""2026-01-14T17:48:04.581Z""}]",[],false,
task-1768553010441,User Activity Engineering,Implement user Level Activity on Engineering Module,completed,ZenseAI.Data,low,2026-01-23T00:00:00.000Z,2026-01-16T08:43:30.441Z,,,0,,,"[{""id"":1768552994145,""text"":""Validate all Modules"",""completed"":true,""createdAt"":""2026-01-16T08:43:14.145Z""},{""id"":1768553008741,""text"":""Raise PRs and Deploy them"",""completed"":true,""createdAt"":""2026-01-16T08:43:28.741Z""}]",[],false,
task-1768553071332,User Activity Insights,Implement user level activity on allmodules,completed,ZenseAI.Data,low,2026-01-23T00:00:00.000Z,2026-01-16T08:44:31.332Z,,,0,,,"[{""id"":1768553061226,""text"":""Validate all modules"",""completed"":true,""createdAt"":""2026-01-16T08:44:21.226Z""},{""id"":1768553069706,""text"":""Raise PRs and Deploy"",""completed"":true,""createdAt"":""2026-01-16T08:44:29.706Z""}]",[],false,
task-1768575781417,Theme Changes for NFUM,change the primary to nfum theme for all pillars,completed,ZenseAI.Data,low,2026-01-23T00:00:00.000Z,2026-01-16T15:03:01.417Z,,4-Pillars,0,,,"[{""id"":1768575769092,""text"":""Governance"",""completed"":true,""createdAt"":""2026-01-16T15:02:49.092Z""},{""id"":1768575774229,""text"":""Engineering"",""completed"":true,""createdAt"":""2026-01-16T15:02:54.229Z""},{""id"":1768575779734,""text"":""Insights"",""completed"":true,""createdAt"":""2026-01-16T15:02:59.734Z""}]",[],false,
